iterations;loss_weights;depth;width;activation;length;duration;N_x;N_t;gamma;epsilon;lr;IC;BC;batch_sizes(eq,ic,bc);avg_l2_error;avg_l2_error_phase;dx;dt;w/l;dt/dx
15000;(1,1,0);8;48;tanh;10;7;200000;700;0.8;5;optax.exponential_decay(init_value=1e-3, transition_steps=5000, decay_rate=0.9);2ds;Dirichlet(FM);(1024,300,200);0.076529;;0,0001;0,01;;
15000;(1,1,0);8;48;tanh;10;7;200000;7000;0.8;5;optax.exponential_decay(init_value=1e-3, transition_steps=5000, decay_rate=0.9);2ds;Dirichlet(FM);(1024,300,200);out of memory';;0,0001;0,001;;
15000;(1,10,10);5;48;tanh;3,141592654;2;600;250;0.8;5;optax.exponential_decay(init_value=1e-3, transition_steps=5000, decay_rate=0.9);RW;Neumann0;(1024,300,200);1,79E-02;;0,010471976;0,008;9,6;0,763943727
15000;(1,10,10);5;48;tanh;7,853981634;4;600;250;0.8;5;optax.exponential_decay(init_value=1e-3, transition_steps=5000, decay_rate=0.9);RW;Neumann0;(1024,300,200);3,07E-01;;0,026179939;0,016;9,6;0,611154981
15000;(1,100,100);5;48;tanh;5;4;600;250;0.8;5;optax.exponential_decay(init_value=1e-3, transition_steps=5000, decay_rate=0.9);RW;Neumann0;(1024,300,200);5,76E-01;;0,016666667;0,016;9,6;0,96
15000;(1,100,10);6;48;tanh;7,853981634;3,141592654;600;250;0.8;5;optax.exponential_decay(init_value=1e-3, transition_steps=5000, decay_rate=0.9);RW;Neumann0;(1024,300,200);3,21E-01;;0,026179939;0,012566371;8;0,48
20000;(1,10,10);6;48;tanh;7,853981634;3,141592654;600;250;0.8;5;optax.exponential_decay(init_value=1e-3, transition_steps=5000, decay_rate=0.9);RW;Neumann0;(1024,300,200);3,72E-02;;0,026179939;0,012566371;8;0,48
20000;(1,10,10);5;48;tanh;7,853981634;2,5;600;250;0.8;5;optax.exponential_decay(init_value=1e-3, transition_steps=5000, decay_rate=0.9);RW;Neumann0;(1024,300,200);4,84E-03;;0,026179939;0,01;9,6;0,381971863
20000;(1,10,10);5;48;tanh;7,853981634;3,141592654;600;250;0.8;5;optax.exponential_decay(init_value=1e-3, transition_steps=5000, decay_rate=0.9);RW;Neumann0;(1024,300,200);2,61E-01;;0,026179939;0,012566371;9,6;0,48
20000;(1,10,1);6;48;tanh;7,853981634;2,5;600;400;0.8;5;optax.exponential_decay(init_value=1e-3, transition_steps=5000, decay_rate=0.9);RW;Neumann0;(1024,300,200);1,88E-01;;0,026179939;0,00625;8;0,238732415
25000;(1,10,10);5;48;tanh;7,853981634;2,5;600;250;0.8;5;optax.exponential_decay(init_value=1e-3, transition_steps=5000, decay_rate=0.9);RW;Neumann0;(1024,300,200);1,66E-01;;0,026179939;0,01;9,6;0,381971863
35000;(1,10,10);5;48;tanh;7,853981634;2,5;600;250;0.8;5;optax.exponential_decay(init_value=1e-3, transition_steps=5000, decay_rate=0.9);RW;Neumann0;(2048,300,200);4,29E-02;;0,026179939;0,01;9,6;0,381971863
